ts,pair,long_venue,long_symbol,long_bid,long_ask,short_venue,short_symbol,short_bid,short_ask,entry_edge_bps,position_qty,long_avg_entry,short_avg_entry
2026-05-07T16:00:09.511878Z,PLTR_grvt_vs_ext,grvt,PLTR_USDT_Perp,139.23000000,139.32000000,extended,PLTR_24_5-USD,138.93000000,139.06000000,-40.4931,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,MSTR_ext_vs_grvt,extended,MSTR_24_5-USD,178.60000000,178.72000000,grvt,MSTR_USDT_Perp,179.76000000,179.87000000,45.6916,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:09.511878Z,MSTR_grvt_vs_ext,grvt,MSTR_USDT_Perp,179.76000000,179.87000000,extended,MSTR_24_5-USD,178.60000000,178.72000000,-83.1065,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,MSFT_ext_vs_grvt,extended,MSFT_24_5-USD,425.23000000,425.55000000,grvt,MSFT_USDT_Perp,425.75000000,425.98000000,-7.8002,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,MSFT_grvt_vs_ext,grvt,MSFT_USDT_Perp,425.75000000,425.98000000,extended,MSFT_24_5-USD,425.23000000,425.55000000,-30.1065,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,AAPL_ext_vs_grvt,extended,AAPL_24_5-USD,288.95000000,289.23000000,grvt,AAPL_USDT_Perp,289.42000000,289.43000000,-5.9308,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,AAPL_grvt_vs_ext,grvt,AAPL_USDT_Perp,289.42000000,289.43000000,extended,AAPL_24_5-USD,288.95000000,289.23000000,-29.0843,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,NVDA_ext_vs_grvt,extended,NVDA_24_5-USD,212.40000000,212.66000000,grvt,NVDA_USDT_Perp,212.96000000,212.97000000,1.6070,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,NVDA_grvt_vs_ext,grvt,NVDA_USDT_Perp,212.96000000,212.97000000,extended,NVDA_24_5-USD,212.40000000,212.66000000,-39.2643,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,AMZN_ext_vs_grvt,extended,AMZN_24_5-USD,273.44000000,273.54000000,grvt,AMZN_USDT_Perp,273.86000000,273.98000000,-0.8015,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,AMZN_grvt_vs_ext,grvt,AMZN_USDT_Perp,273.86000000,273.98000000,extended,AMZN_24_5-USD,273.44000000,273.54000000,-32.2095,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,TSLA_ext_vs_grvt,extended,TSLA_24_5-USD,407.85000000,408.15000000,grvt,TSLA_USDT_Perp,409.34000000,409.35000000,16.6559,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,TSLA_grvt_vs_ext,grvt,TSLA_USDT_Perp,409.34000000,409.35000000,extended,TSLA_24_5-USD,407.85000000,408.15000000,-49.1435,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,META_ext_vs_grvt,extended,META_24_5-USD,622.62000000,623.53000000,grvt,META_USDT_Perp,623.41000000,623.42000000,-14.4245,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,META_grvt_vs_ext,grvt,META_USDT_Perp,623.41000000,623.42000000,extended,META_24_5-USD,622.62000000,623.53000000,-25.3324,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,COIN_ext_vs_grvt,extended,COIN_24_5-USD,193.71000000,193.91000000,grvt,COIN_USDT_Perp,194.28000000,194.36000000,6.5810,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,COIN_grvt_vs_ext,grvt,COIN_USDT_Perp,194.28000000,194.36000000,extended,COIN_24_5-USD,193.71000000,193.91000000,-45.9431,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,PLTR_ext_vs_grvt,extended,PLTR_24_5-USD,138.89000000,139.02000000,grvt,PLTR_USDT_Perp,139.23000000,139.32000000,2.6057,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,PLTR_grvt_vs_ext,grvt,PLTR_USDT_Perp,139.23000000,139.32000000,extended,PLTR_24_5-USD,138.89000000,139.02000000,-43.3642,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,MSTR_ext_vs_grvt,extended,MSTR_24_5-USD,178.56000000,178.72000000,grvt,MSTR_USDT_Perp,179.76000000,179.87000000,45.6916,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:14.513651Z,MSTR_grvt_vs_ext,grvt,MSTR_USDT_Perp,179.76000000,179.87000000,extended,MSTR_24_5-USD,178.56000000,178.72000000,-85.3304,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,MSFT_ext_vs_grvt,extended,MSFT_24_5-USD,425.02000000,425.37000000,grvt,MSFT_USDT_Perp,425.75000000,425.98000000,-3.5666,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,MSFT_grvt_vs_ext,grvt,MSFT_USDT_Perp,425.75000000,425.98000000,extended,MSFT_24_5-USD,425.02000000,425.37000000,-35.0363,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,AAPL_ext_vs_grvt,extended,AAPL_24_5-USD,288.95000000,289.23000000,grvt,AAPL_USDT_Perp,289.42000000,289.43000000,-5.9308,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,AAPL_grvt_vs_ext,grvt,AAPL_USDT_Perp,289.42000000,289.43000000,extended,AAPL_24_5-USD,288.95000000,289.23000000,-29.0843,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,NVDA_ext_vs_grvt,extended,NVDA_24_5-USD,212.17000000,212.44000000,grvt,NVDA_USDT_Perp,212.96000000,212.97000000,11.9775,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,NVDA_grvt_vs_ext,grvt,NVDA_USDT_Perp,212.96000000,212.97000000,extended,NVDA_24_5-USD,212.17000000,212.44000000,-50.0640,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,AMZN_ext_vs_grvt,extended,AMZN_24_5-USD,273.36000000,273.45000000,grvt,AMZN_USDT_Perp,273.86000000,273.98000000,2.4936,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,AMZN_grvt_vs_ext,grvt,AMZN_USDT_Perp,273.86000000,273.98000000,extended,AMZN_24_5-USD,273.36000000,273.45000000,-35.1294,0.00000000,0.00000000,0.00000000
